race_date,race_id,hippodrome,discipline,official,v2_top7,v3_top7,v2_hits,v3_hits,v2_trio,v3_trio,v2_quarte,v3_quarte,v2_quinte,v3_quinte,v4_top7,v4_hits,v4_trio,v4_quarte,v4_quinte,v41_top7,v41_hits,v41_trio,v41_quarte,v41_quinte,v42_top7,v42_hits,v42_trio,v42_quarte,v42_quinte,v42_market_weight,v42_weight_spread
2026-08-12,R1C8_2026-08-12,ENGHIEN,ATTELE_VOLTE,14-4-3-7-13,14-8-2-5-12-10-9,14-8-12-10-2-5-1,1,1,False,False,False,False,False,False,14-8-2-5-12-10-1,1,False,False,False,14-8-12-10-2-5-1,1,False,False,False,14-8-12-10-2-5-1,1,False,False,False,-0.4,
2026-08-13,R1C8_2026-08-13,DEAUVILLE,PLAT,3-6-13-1-16,10-15-2-8-6-3-13,10-15-6-7-2-8-13,3,2,True,False,False,False,False,False,10-15-2-8-6-13-3,3,True,False,False,10-15-6-2-8-13-3,3,True,False,False,10-15-8-2-6-13-3,3,True,False,False,-0.8,3.0
2026-08-14,R1C4_2026-08-14,CABOURG,ATTELE_AUTOSTART,10-4-9-1-13,10-4-3-13-5-9-12,10-13-5-9-3-4-6,4,4,True,True,False,False,False,False,10-4-3-13-5-9-12,4,True,False,False,10-13-5-9-3-4-12,4,True,False,False,10-13-5-9-3-4-12,4,True,False,False,-0.4,
2026-08-15,R1C3_2026-08-15,DEAUVILLE,PLAT,13-11-7-16-6,9-6-7-2-10-16-8,9-6-10-16-2-7-12,3,3,False,False,False,False,False,False,9-6-7-2-10-16-8,3,False,False,False,9-6-10-16-2-7-8,3,False,False,False,9-6-10-2-7-16-8,3,False,False,False,-0.8,5.5
2026-08-16,R1C3_2026-08-16,DEAUVILLE,PLAT,8-14-11-5-4,8-11-6-12-10-3-4,8-6-10-3-11-12-1,3,2,False,False,False,False,False,False,8-11-6-12-10-3-1,2,False,False,False,8-6-10-3-11-12-1,2,False,False,False,8-6-11-12-10-3-1,2,False,False,False,-1.0,8.0
2026-08-17,R1C8_2026-08-17,CLAIREFONTAINE,HAIES,4-2-12-13-15,1-3-8-4-11-12-5,4-1-11-12-3-8-5,2,2,False,False,False,False,False,False,1-3-8-4-11-12-5,2,False,False,False,4-1-11-12-3-8-5,2,False,False,False,4-1-11-12-3-8-5,2,False,False,False,-0.4,
2026-08-18,R1C8_2026-08-18,DEAUVILLE,PLAT,2-9-13-14-15,9-15-5-16-10-3-7,9-5-10-7-16-15-4,2,2,False,False,False,False,False,False,9-15-5-16-10-7-3,2,False,False,False,9-5-10-7-16-15-3,2,False,False,False,9-5-15-10-16-7-4,2,False,False,False,-1.0,7.0
2026-08-19,R1C8_2026-08-19,LAVAL,ATTELE_VOLTE,4-10-12-11-7,14-13-10-15-4-12-7,14-13-4-12-10-15-11,4,4,True,True,False,True,False,False,14-13-10-15-4-12-11,4,True,True,False,14-13-4-12-10-15-11,4,True,True,False,14-13-4-12-10-15-11,4,True,True,False,-0.4,
2026-08-20,R1C8_2026-08-20,DEAUVILLE,PLAT,11-15-6-9-3,8-7-9-3-2-10-6,8-2-7-6-9-3-11,3,4,False,False,False,False,False,False,8-7-9-3-2-6-10,3,False,False,False,8-2-7-6-9-3-10,3,False,False,False,8-7-2-3-9-6-10,3,False,False,False,-1.0,7.5
2026-08-21,R1C4_2026-08-21,CABOURG,ATTELE_VOLTE,4-13-8-7-3,8-13-14-7-11-2-6,8-13-11-2-7-14-9,3,3,False,False,False,False,False,False,8-13-14-7-11-2-9,3,False,False,False,8-13-11-2-7-14-9,3,False,False,False,8-13-11-2-7-14-9,3,False,False,False,-0.4,
